image,x,y,w,h,contrast,area_px,aspect,fill,polarity,sat_frac,dark_frac,on_grid8,near_edge,matches,evidence_class,score,verdict,flags
ESP_093494_2015_MIRB.browse_enh.png,2384,4088,52,16,2.71,832,3.25,0.615,dark,0.002,0.013,True,False,2,3,65.4,"Candidate surface feature (corresponding feature found in 2 related frames) - evidence class 3 (weak, single acquisition)",
ESP_093494_2015_MRGB.browse_enh.png,2384,4088,52,16,2.71,832,3.25,0.615,dark,0.002,0.014,True,False,2,3,65.4,"Candidate surface feature (corresponding feature found in 2 related frames) - evidence class 3 (weak, single acquisition)",
ESP_093494_2015_RED.browse_enh.png,2384,8976,36,48,2.28,1728,1.33,0.407,dark,0.035,0.025,True,False,2,3,65.3,"Candidate surface feature (corresponding feature found in 2 related frames) - evidence class 3 (weak, single acquisition)",
NHQ201905310042_enh.png,3448,2500,44,120,3.49,5280,2.73,0.367,dark,0.0,0.0,False,False,0,2,65.3,"Candidate surface feature - evidence class 2 (weak, single acquisition)",
ESP_093491_1770_MIRB.browse_enh.png,940,2392,20,20,4.32,400,1.0,0.6,bright,0.2,0.0,False,False,2,3,65.2,"Artifact: small, isolated: too few pixels to distinguish surface feature from sensor noise",small_blob
ESP_093491_1770_MRGB.browse_enh.png,940,2392,20,20,4.32,400,1.0,0.6,bright,0.2,0.0,False,False,2,3,65.2,"Artifact: small, isolated: too few pixels to distinguish surface feature from sensor noise",small_blob
ESP_093491_1770_RED.browse_enh.png,940,2392,20,20,4.64,400,1.0,0.6,bright,0.203,0.0,False,False,2,3,65.2,"Artifact: small, isolated: too few pixels to distinguish surface feature from sensor noise",small_blob
NHQ201905310042_enh.png,2120,1396,352,216,1.86,76032,1.63,0.145,bright,0.0,0.002,False,False,0,2,65.2,"Candidate surface feature - evidence class 2 (weak, single acquisition)",
M116861050ME_pyr_enh.png,1688,7160,28,8,3.9,224,3.5,0.929,bright,0.004,0.0,True,False,0,2,65.1,"Candidate surface feature - evidence class 2 (weak, single acquisition)",
ESP_093494_2015_MRGB.browse_enh.png,2200,5820,40,12,2.7,480,3.33,0.533,dark,0.0,0.0,False,False,2,3,65.0,"Candidate surface feature (corresponding feature found in 2 related frames) - evidence class 3 (weak, single acquisition)",
ESP_093494_2015_RED.browse_enh.png,2060,7372,52,16,2.67,832,3.25,0.385,dark,0.005,0.0,False,False,2,3,65.0,"Candidate surface feature (corresponding feature found in 2 related frames) - evidence class 3 (weak, single acquisition)",
M116860657ME_pyr_enh.png,1792,4536,8,28,3.89,224,3.5,0.857,bright,0.134,0.058,True,False,0,2,65.0,"Candidate surface feature - evidence class 2 (weak, single acquisition)",
NHQ201905310029_enh.png,6816,2804,156,168,1.93,26208,1.08,0.258,bright,0.095,0.0,False,False,0,2,64.9,"Candidate surface feature - evidence class 2 (weak, single acquisition)",
PIA13515_enh.png,788,1092,340,68,4.04,23120,5.0,0.436,bright,0.406,0.041,False,False,0,2,64.9,"Candidate surface feature - evidence class 2 (weak, single acquisition)",
ESP_093494_2015_RED.browse_enh.png,1380,6824,40,12,2.68,480,3.33,0.567,dark,0.037,0.0,False,False,2,3,64.8,"Candidate surface feature (corresponding feature found in 2 related frames) - evidence class 3 (weak, single acquisition)",
NHQ201905310045_enh.png,2100,852,236,216,4.0,50976,1.09,0.09,bright,0.0,0.015,False,False,0,1,64.8,"Artifact: sparse/boxy, aligned to 8px grid: likely JPEG/JP2 compression artifact",compression
NHQ201905310039_enh.png,2756,2408,48,60,3.28,2880,1.25,0.606,bright,0.0,0.0,False,False,0,2,64.7,"Candidate surface feature - evidence class 2 (weak, single acquisition)",
M116862430ME_pyr_enh.png,276,4536,8,28,3.86,224,3.5,0.857,bright,0.058,0.022,False,False,0,2,64.7,"Candidate surface feature - evidence class 2 (weak, single acquisition)",
M116864914ME_pyr_enh.png,948,4104,72,144,2.99,10368,2.0,0.461,bright,0.176,0.194,False,False,0,2,64.7,"Candidate surface feature - evidence class 2 (weak, single acquisition)",
NHQ201905310029_enh.png,3940,5116,44,36,3.32,1584,1.22,0.394,bright,0.0,0.09,False,False,0,2,64.5,"Candidate surface feature - evidence class 2 (weak, single acquisition)",
NHQ201905310035_enh.png,5512,1436,36,12,3.73,432,3.0,0.556,bright,0.0,0.0,False,False,0,2,64.5,"Candidate surface feature - evidence class 2 (weak, single acquisition)",
M116860262ME_pyr_enh.png,1348,3380,28,8,3.82,224,3.5,0.857,bright,0.161,0.045,False,False,0,2,64.4,"Candidate surface feature - evidence class 2 (weak, single acquisition)",
M116858127ME_pyr_enh.png,476,4548,108,236,2.12,25488,2.19,0.347,bright,0.192,0.116,False,False,0,2,64.3,"Candidate surface feature - evidence class 2 (weak, single acquisition)",
ESP_093487_1780_RED.browse_enh.png,2980,4192,8,28,2.64,224,3.5,0.857,dark,0.009,0.045,False,False,2,3,64.0,"Candidate surface feature (corresponding feature found in 2 related frames) - evidence class 3 (weak, single acquisition)",
NHQ201906010007_enh.png,5392,1504,80,188,2.71,15040,2.35,0.381,bright,0.118,0.022,True,False,0,2,64.0,"Candidate surface feature - evidence class 2 (weak, single acquisition)",
M116860852ME_pyr_enh.png,348,5404,8,28,3.77,224,3.5,0.857,bright,0.018,0.0,False,False,0,2,63.9,"Candidate surface feature - evidence class 2 (weak, single acquisition)",
M116861500ME_pyr_enh.png,1552,8216,36,100,3.44,3600,2.78,0.582,bright,0.142,0.351,True,False,0,2,63.9,"Candidate surface feature - evidence class 2 (weak, single acquisition)",
NHQ201905310044_enh.png,4628,2356,124,284,1.82,35216,2.29,0.205,bright,0.051,0.0,False,False,0,2,63.8,"Candidate surface feature - evidence class 2 (weak, single acquisition)",
PIA12228_enh.png,184,1028,40,176,3.52,7040,4.4,0.332,bright,0.137,0.0,False,False,0,2,63.7,"Candidate surface feature - evidence class 2 (weak, single acquisition)",
NHQ201905310044_enh.png,6300,1084,12,36,3.63,432,3.0,0.963,bright,0.0,0.0,False,False,0,2,63.6,"Candidate surface feature - evidence class 2 (weak, single acquisition)",
PIA13496_enh.png,240,300,52,64,3.12,3328,1.23,0.452,dark,0.203,0.296,False,False,0,2,63.6,"Candidate surface feature - evidence class 2 (weak, single acquisition)",
ESP_093494_2015_MIRB.browse_enh.png,2200,5820,40,12,2.53,480,3.33,0.567,dark,0.0,0.0,False,False,2,3,63.5,"Candidate surface feature (corresponding feature found in 2 related frames) - evidence class 3 (weak, single acquisition)",
ESP_093494_2015_RED.browse_enh.png,1656,4172,72,64,1.84,4608,1.12,0.267,dark,0.045,0.074,False,False,2,3,63.2,"Candidate surface feature (corresponding feature found in 2 related frames) - evidence class 3 (weak, single acquisition)",
NHQ201906010007_enh.png,5176,3576,36,12,3.58,432,3.0,0.667,bright,0.032,0.035,True,False,0,2,63.2,"Candidate surface feature - evidence class 2 (weak, single acquisition)",
M116860852ME_pyr_enh.png,532,5012,8,28,3.69,224,3.5,0.857,bright,0.112,0.009,False,False,0,2,63.2,"Candidate surface feature - evidence class 2 (weak, single acquisition)",
ESP_093487_1780_MIRB.browse_enh.png,3464,3840,8,28,2.52,224,3.5,0.857,dark,0.0,0.067,True,False,2,3,63.0,"Candidate surface feature (corresponding feature found in 2 related frames) - evidence class 3 (weak, single acquisition)",
ESP_093487_1780_MRGB.browse_enh.png,3464,3840,8,28,2.52,224,3.5,0.857,dark,0.0,0.067,True,False,2,3,63.0,"Candidate surface feature (corresponding feature found in 2 related frames) - evidence class 3 (weak, single acquisition)",
NHQ201905310043_enh.png,1124,2672,184,112,2.14,20608,1.64,0.134,dark,0.034,0.006,False,False,0,2,63.0,"Candidate surface feature - evidence class 2 (weak, single acquisition)",
M116860852ME_pyr_enh.png,1552,84,28,112,3.59,3136,4.0,0.48,bright,0.144,0.372,False,False,0,2,63.0,"Candidate surface feature - evidence class 2 (weak, single acquisition)",
ESP_093494_2015_RED.browse_enh.png,2200,5820,44,12,2.52,528,3.67,0.545,dark,0.008,0.0,False,False,2,3,62.9,"Candidate surface feature (corresponding feature found in 2 related frames) - evidence class 3 (weak, single acquisition)",
NHQ201905310044_enh.png,2620,5660,16,92,7.3,1472,5.75,0.337,dark,0.224,0.0,False,False,0,2,62.8,"Candidate surface feature - evidence class 2 (weak, single acquisition)",
ESP_093487_1780_RED.browse_enh.png,3464,3840,8,28,2.49,224,3.5,0.857,dark,0.0,0.268,True,False,2,3,62.7,"Candidate surface feature (corresponding feature found in 2 related frames) - evidence class 3 (weak, single acquisition)",
NHQ201906010008_enh.png,3784,2296,48,44,3.05,2112,1.09,0.523,bright,0.147,0.011,True,False,0,2,62.6,"Candidate surface feature - evidence class 2 (weak, single acquisition)",
ESP_093497_1560_MIRB.browse_enh.png,1496,660,8,24,2.37,192,3.0,1.0,bright,0.0,0.0,False,False,2,3,62.5,"Candidate surface feature (corresponding feature found in 2 related frames) - evidence class 3 (weak, single acquisition)",
ESP_093497_1560_RED.browse_enh.png,1496,660,8,24,2.37,192,3.0,1.0,bright,0.021,0.0,False,False,2,3,62.5,"Candidate surface feature (corresponding feature found in 2 related frames) - evidence class 3 (weak, single acquisition)",
M116861440ME_pyr_enh.png,48,868,8,28,3.58,224,3.5,0.857,bright,0.223,0.022,False,False,0,2,62.3,"Candidate surface feature - evidence class 2 (weak, single acquisition)",
ESP_093487_1780_MIRB.browse_enh.png,2816,3520,40,12,2.38,480,3.33,0.5,dark,0.008,0.029,True,False,2,3,62.2,"Candidate surface feature (corresponding feature found in 2 related frames) - evidence class 3 (weak, single acquisition)",
ESP_093487_1780_MRGB.browse_enh.png,2816,3520,40,12,2.38,480,3.33,0.533,dark,0.008,0.029,True,False,2,3,62.2,"Candidate surface feature (corresponding feature found in 2 related frames) - evidence class 3 (weak, single acquisition)",
ESP_093494_2015_RED.browse_enh.png,3200,8628,16,48,2.3,768,3.0,0.396,dark,0.031,0.0,False,False,2,3,62.2,"Candidate surface feature (corresponding feature found in 2 related frames) - evidence class 3 (weak, single acquisition)",
M116863408ME_pyr_enh.png,1156,672,40,84,3.13,3360,2.1,0.629,bright,0.183,0.317,False,False,0,2,62.2,"Candidate surface feature - evidence class 2 (weak, single acquisition)",
ESP_093494_2015_MIRB.browse_enh.png,3200,8628,16,48,2.26,768,3.0,0.396,dark,0.036,0.001,False,False,2,3,61.8,"Candidate surface feature (corresponding feature found in 2 related frames) - evidence class 3 (weak, single acquisition)",
ESP_093494_2015_MRGB.browse_enh.png,3200,8628,16,48,2.26,768,3.0,0.396,dark,0.033,0.001,False,False,2,3,61.8,"Candidate surface feature (corresponding feature found in 2 related frames) - evidence class 3 (weak, single acquisition)",
M116862038ME_pyr_enh.png,1276,2772,28,8,3.53,224,3.5,0.857,bright,0.0,0.031,False,False,0,2,61.8,"Candidate surface feature - evidence class 2 (weak, single acquisition)",
ESP_093487_1780_MIRB.browse_enh.png,3708,5068,12,44,2.37,528,3.67,0.576,dark,0.008,0.055,False,False,2,3,61.6,"Candidate surface feature (corresponding feature found in 2 related frames) - evidence class 3 (weak, single acquisition)",
ESP_093487_1780_MRGB.browse_enh.png,3708,5068,12,44,2.38,528,3.67,0.576,dark,0.008,0.057,False,False,2,3,61.6,"Candidate surface feature (corresponding feature found in 2 related frames) - evidence class 3 (weak, single acquisition)",
NHQ201905310039_enh.png,4060,2168,184,404,1.56,74336,2.2,0.361,bright,0.173,0.0,False,False,0,2,61.6,"Candidate surface feature - evidence class 2 (weak, single acquisition)",
M116860852ME_pyr_enh.png,216,8008,16,56,3.47,896,3.5,0.696,bright,0.085,0.0,True,False,0,2,61.6,"Candidate surface feature - evidence class 2 (weak, single acquisition)",
NHQ201905310043_enh.png,5772,4316,44,44,2.92,1936,1.0,0.231,dark,0.071,0.041,False,False,0,2,61.5,"Candidate surface feature - evidence class 2 (weak, single acquisition)",
ESP_093487_1780_RED.browse_enh.png,2816,3520,40,12,2.29,480,3.33,0.567,dark,0.008,0.123,True,False,2,3,61.4,"Candidate surface feature (corresponding feature found in 2 related frames) - evidence class 3 (weak, single acquisition)",
M116862038ME_pyr_enh.png,464,4144,16,84,3.74,1344,5.25,0.524,bright,0.112,0.181,True,False,0,2,61.3,"Candidate surface feature - evidence class 2 (weak, single acquisition)",
ESP_093487_1780_RED.browse_enh.png,2808,4040,12,40,2.26,480,3.33,0.7,dark,0.004,0.119,True,False,2,3,61.1,"Candidate surface feature (corresponding feature found in 2 related frames) - evidence class 3 (weak, single acquisition)",
M116858127ME_pyr_enh.png,1740,180,64,172,2.68,11008,2.69,0.477,bright,0.148,0.167,False,False,0,2,61.1,"Candidate surface feature - evidence class 2 (weak, single acquisition)",
M116860460ME_pyr_enh.png,20,2128,8,28,3.45,224,3.5,1.0,bright,0.25,0.0,False,False,0,2,61.1,"Candidate surface feature - evidence class 2 (weak, single acquisition)",
M116862822ME_pyr_enh.png,204,3248,8,28,3.43,224,3.5,0.857,bright,0.138,0.089,False,False,0,2,61.0,"Candidate surface feature - evidence class 2 (weak, single acquisition)",
M116860460ME_pyr_enh.png,128,664,8,28,3.42,224,3.5,0.857,bright,0.049,0.036,True,False,0,2,60.9,"Candidate surface feature - evidence class 2 (weak, single acquisition)",
M116861050ME_pyr_enh.png,1892,5536,28,8,3.42,224,3.5,0.929,bright,0.0,0.0,False,False,0,2,60.9,"Candidate surface feature - evidence class 2 (weak, single acquisition)",
PIA12228_enh.png,180,1472,44,56,14.29,2464,1.27,0.455,bright,0.334,0.298,False,False,0,2,60.8,"Candidate surface feature - evidence class 2 (weak, single acquisition)",
NHQ201905310026_enh.png,7656,5496,40,12,3.35,480,3.33,0.633,bright,0.0,0.0,True,False,0,2,60.7,"Candidate surface feature - evidence class 2 (weak, single acquisition)",
ESP_093487_1780_MIRB.browse_enh.png,3852,6056,12,36,2.14,432,3.0,0.593,dark,0.014,0.042,False,False,2,3,60.6,"Candidate surface feature (corresponding feature found in 2 related frames) - evidence class 3 (weak, single acquisition)",
ESP_093487_1780_MRGB.browse_enh.png,3852,6056,12,36,2.14,432,3.0,0.593,dark,0.014,0.039,False,False,2,3,60.6,"Candidate surface feature (corresponding feature found in 2 related frames) - evidence class 3 (weak, single acquisition)",
ESP_093487_1780_MRGB.browse_enh.png,1564,7124,12,36,2.14,432,3.0,0.481,dark,0.046,0.044,False,False,2,3,60.6,"Candidate surface feature (corresponding feature found in 2 related frames) - evidence class 3 (weak, single acquisition)",
ESP_093495_2105_RED.browse_enh.png,2160,1272,48,48,1.65,2304,1.0,0.34,dark,0.112,0.058,True,False,2,3,60.6,"Candidate surface feature (corresponding feature found in 2 related frames) - evidence class 3 (weak, single acquisition)",
ESP_093487_1780_MIRB.browse_enh.png,1564,7124,12,36,2.13,432,3.0,0.481,dark,0.046,0.044,False,False,2,3,60.5,"Candidate surface feature (corresponding feature found in 2 related frames) - evidence class 3 (weak, single acquisition)",
ESP_093487_1780_MRGB.browse_enh.png,3048,6368,12,36,2.12,432,3.0,0.63,dark,0.021,0.0,True,False,2,3,60.4,"Candidate surface feature (corresponding feature found in 2 related frames) - evidence class 3 (weak, single acquisition)",
ESP_093487_1780_RED.browse_enh.png,1256,1880,16,52,2.14,832,3.25,0.577,dark,0.053,0.19,True,False,2,3,60.4,"Candidate surface feature (corresponding feature found in 2 related frames) - evidence class 3 (weak, single acquisition)",
ESP_093494_2015_RED.browse_enh.png,2564,4044,28,12,3.71,336,2.33,0.667,dark,0.051,0.03,False,False,2,3,60.4,"Artifact: small, isolated: too few pixels to distinguish surface feature from sensor noise",small_blob
NHQ201905310042_enh.png,2116,532,392,328,1.23,128576,1.2,0.128,dark,0.001,0.018,False,False,0,2,60.4,"Candidate surface feature - evidence class 2 (weak, single acquisition)",
M116862822ME_pyr_enh.png,72,4316,8,24,3.27,192,3.0,1.0,bright,0.036,0.0,False,False,0,2,60.4,"Candidate surface feature - evidence class 2 (weak, single acquisition)",
ESP_093487_1780_MIRB.browse_enh.png,3048,6368,12,36,2.11,432,3.0,0.63,dark,0.021,0.0,True,False,2,3,60.3,"Candidate surface feature (corresponding feature found in 2 related frames) - evidence class 3 (weak, single acquisition)",
NHQ201906010007_enh.png,5320,3536,56,32,2.93,1792,1.75,0.312,bright,0.053,0.138,True,False,0,2,60.3,"Candidate surface feature - evidence class 2 (weak, single acquisition)",
ESP_093495_2105_MRGB.browse_enh.png,2160,1276,48,52,1.61,2496,1.08,0.353,dark,0.054,0.042,False,False,2,3,60.2,"Candidate surface feature (corresponding feature found in 2 related frames) - evidence class 3 (weak, single acquisition)",
ESP_093490_1440_RED.browse_enh.png,2648,1004,12,44,2.2,528,3.67,0.576,bright,0.0,0.006,False,False,2,3,60.1,"Candidate surface feature (corresponding feature found in 2 related frames) - evidence class 3 (weak, single acquisition)",
ESP_093495_2105_MIRB.browse_enh.png,2160,1276,48,52,1.6,2496,1.08,0.346,dark,0.056,0.041,False,False,2,3,60.1,"Candidate surface feature (corresponding feature found in 2 related frames) - evidence class 3 (weak, single acquisition)",
ESP_093487_1780_RED.browse_enh.png,1888,6480,20,80,2.19,1600,4.0,0.39,dark,0.006,0.109,True,False,2,3,60.0,"Candidate surface feature (corresponding feature found in 2 related frames) - evidence class 3 (weak, single acquisition)",
NHQ201905310037_enh.png,4816,5284,48,48,2.73,2304,1.0,0.41,bright,0.006,0.0,False,False,0,2,60.0,"Candidate surface feature - evidence class 2 (weak, single acquisition)",
M116861500ME_pyr_enh.png,140,804,8,28,3.32,224,3.5,0.857,bright,0.0,0.0,False,False,0,2,60.0,"Candidate surface feature - evidence class 2 (weak, single acquisition)",
